Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
"Acute infarction of intestine, part unspecified",Maintain hygiene,Drink plenty of water,Exercise lightly,Avoid oily food
Erosion of implanted urethral mesh to surrounding organ or tissue,Avoid oily food,Take medicines on time,Exercise lightly,Maintain hygiene
"Other synovitis and tenosynovitis, upper arm",Maintain hygiene,Take medicines on time,Monitor vitals regularly,Avoid oily food
Displaced fracture of greater trochanter of unspecified femur,Drink plenty of water,Take medicines on time,Maintain hygiene,Avoid oily food
Maternal care for disproportion of other origin,Avoid oily food,Exercise lightly,Maintain hygiene,Get adequate rest
Liver disorders in diseases classified elsewhere,Maintain hygiene,Drink plenty of water,Get adequate rest,Avoid oily food
Postprocedural hematoma and seroma of a respiratory system organ or structure following a procedure,Drink plenty of water,Avoid oily food,Exercise lightly,Get adequate rest
Complete loss of teeth due to periodontal diseases,Avoid oily food,Drink plenty of water,Monitor vitals regularly,Take medicines on time
Pneumonia due to Streptococcus pneumoniae,Take medicines on time,Maintain hygiene,Get adequate rest,Drink plenty of water
Unspecified nondisplaced fracture of surgical neck of unspecified humerus,Monitor vitals regularly,Drink plenty of water,Avoid oily food,Take medicines on time
Other sickle-cell disorders,Maintain hygiene,Get adequate rest,Monitor vitals regularly,Exercise lightly
"Unspecified injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm",Monitor vitals regularly,Take medicines on time,Avoid oily food,Maintain hygiene
Other accident to other private fixed-wing aircraft injuring occupant,Maintain hygiene,Drink plenty of water,Get adequate rest,Avoid oily food
"Primary blast injury of fallopian tube, bilateral",Exercise lightly,Get adequate rest,Drink plenty of water,Monitor vitals regularly
"Aneurysmal bone cyst, multiple sites",Drink plenty of water,Exercise lightly,Maintain hygiene,Take medicines on time
"Other injury of flexor muscle, fascia and tendon of left index finger at forearm level",Maintain hygiene,Exercise lightly,Avoid oily food,Get adequate rest
Newborn affected by other abnormalities of membranes,Get adequate rest,Take medicines on time,Exercise lightly,Maintain hygiene
Bitten by nonvenomous snake,Get adequate rest,Exercise lightly,Maintain hygiene,Avoid oily food
Person boarding or alighting a heavy transport vehicle injured in collision with fixed or stationary object,Drink plenty of water,Avoid oily food,Exercise lightly,Monitor vitals regularly
Other streptococcal arthritis and polyarthritis,Take medicines on time,Drink plenty of water,Avoid oily food,Maintain hygiene
Other mucopurulent conjunctivitis,Take medicines on time,Drink plenty of water,Get adequate rest,Avoid oily food
Other specified heart block,Avoid oily food,Get adequate rest,Exercise lightly,Monitor vitals regularly
Unspecified physeal fracture of upper end of unspecified fibula,Get adequate rest,Take medicines on time,Maintain hygiene,Monitor vitals regularly
Superficial foreign body of other specified part of neck,Monitor vitals regularly,Take medicines on time,Maintain hygiene,Get adequate rest
Displaced simple supracondylar fracture without intercondylar fracture of unspecified humerus,Exercise lightly,Maintain hygiene,Monitor vitals regularly,Take medicines on time
Other inflammatory liver diseases,Drink plenty of water,Exercise lightly,Get adequate rest,Take medicines on time
Unspecified fracture of lower end of left ulna,Exercise lightly,Drink plenty of water,Monitor vitals regularly,Take medicines on time
Bariatric surgery status,Exercise lightly,Monitor vitals regularly,Get adequate rest,Avoid oily food
Caisson disease [decompression sickness],Get adequate rest,Drink plenty of water,Take medicines on time,Exercise lightly
Displaced unspecified condyle fracture of lower end of unspecified femur,Drink plenty of water,Exercise lightly,Avoid oily food,Take medicines on time
Other specified injuries of left thigh,Drink plenty of water,Maintain hygiene,Monitor vitals regularly,Get adequate rest
"Drug-induced chronic gout, right hip",Take medicines on time,Monitor vitals regularly,Get adequate rest,Drink plenty of water
Cataract with neovascularization,Get adequate rest,Drink plenty of water,Maintain hygiene,Exercise lightly
Other specified injuries of unspecified part of neck,Avoid oily food,Get adequate rest,Maintain hygiene,Monitor vitals regularly
Benign neoplasm of lacrimal gland and duct,Exercise lightly,Avoid oily food,Monitor vitals regularly,Get adequate rest
Unspecified injury of left foot,Get adequate rest,Avoid oily food,Take medicines on time,Maintain hygiene
Passenger in three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident,Drink plenty of water,Maintain hygiene,Avoid oily food,Monitor vitals regularly
Hordeolum internum,Get adequate rest,Monitor vitals regularly,Take medicines on time,Maintain hygiene
Other dermatomyositis,Drink plenty of water,Maintain hygiene,Exercise lightly,Get adequate rest
Resistance to antimycobacterial drug(s),Exercise lightly,Avoid oily food,Maintain hygiene,Take medicines on time
Occupant of railway train or railway vehicle injured due to object falling onto train,Maintain hygiene,Monitor vitals regularly,Avoid oily food,Exercise lightly
Symptoms and signs involving appearance and behavior,Get adequate rest,Drink plenty of water,Avoid oily food,Maintain hygiene
Unspecified injury of unspecified carotid artery,Drink plenty of water,Get adequate rest,Monitor vitals regularly,Take medicines on time
Blastomycosis,Take medicines on time,Exercise lightly,Get adequate rest,Avoid oily food
Burn due to localized fire on board fishing boat,Monitor vitals regularly,Drink plenty of water,Maintain hygiene,Exercise lightly
"Allergy, unspecified",Drink plenty of water,Maintain hygiene,Monitor vitals regularly,Avoid oily food
Encounter for fitting and adjustment of unspecified artificial arm,Get adequate rest,Exercise lightly,Avoid oily food,Take medicines on time
"Toxic effect of unspecified organic solvent, undetermined",Drink plenty of water,Monitor vitals regularly,Avoid oily food,Get adequate rest
"Laceration of muscle, fascia and tendon of abdomen",Drink plenty of water,Maintain hygiene,Get adequate rest,Take medicines on time
Striking against wall of swimming pool causing drowning and submersion,Maintain hygiene,Exercise lightly,Avoid oily food,Drink plenty of water
Incomplete lesion of L1 level of lumbar spinal cord,Get adequate rest,Exercise lightly,Drink plenty of water,Monitor vitals regularly
Burns classified according to extent of body surface involved,Drink plenty of water,Avoid oily food,Monitor vitals regularly,Maintain hygiene
"Asphyxiation due to smothering under another person's body (in bed), accidental",Avoid oily food,Exercise lightly,Monitor vitals regularly,Drink plenty of water
Unspecified superficial injury of left index finger,Maintain hygiene,Take medicines on time,Monitor vitals regularly,Drink plenty of water
"Nondisplaced fracture of fifth metatarsal bone, left foot",Avoid oily food,Take medicines on time,Get adequate rest,Maintain hygiene
"Injury of cutaneous sensory nerve at forearm level, left arm",Take medicines on time,Drink plenty of water,Maintain hygiene,Get adequate rest
Other mechanical complication of internal left knee prosthesis,Drink plenty of water,Exercise lightly,Get adequate rest,Avoid oily food
Unspecified injury of unspecified urinary and pelvic organ,Drink plenty of water,Take medicines on time,Exercise lightly,Avoid oily food
"Other bursitis, not elsewhere classified, knee",Maintain hygiene,Get adequate rest,Drink plenty of water,Avoid oily food
"Assault by drowning and submersion, unspecified",Maintain hygiene,Exercise lightly,Get adequate rest,Monitor vitals regularly
Unspecified symptoms and signs involving cognitive functions and awareness,Maintain hygiene,Monitor vitals regularly,Exercise lightly,Get adequate rest
Anterior spinal artery compression syndromes,Avoid oily food,Monitor vitals regularly,Exercise lightly,Take medicines on time
Car passenger injured in collision with other nonmotor vehicle in nontraffic accident,Avoid oily food,Take medicines on time,Get adequate rest,Exercise lightly
Dislocation of C4/C5 cervical vertebrae,Take medicines on time,Drink plenty of water,Get adequate rest,Exercise lightly
Subluxation of T9/T10 thoracic vertebra,Avoid oily food,Get adequate rest,Exercise lightly,Take medicines on time
Traumatic rupture of volar plate of right index finger at metacarpophalangeal and interphalangeal joint,Take medicines on time,Maintain hygiene,Drink plenty of water,Avoid oily food
"Other adverse food reactions, not elsewhere classified",Monitor vitals regularly,Take medicines on time,Get adequate rest,Exercise lightly
"Other specific joint derangements of shoulder, not elsewhere classified",Exercise lightly,Get adequate rest,Avoid oily food,Monitor vitals regularly
Laceration without foreign body of scrotum and testes,Monitor vitals regularly,Take medicines on time,Maintain hygiene,Drink plenty of water
"Poisoning by rifampicins, accidental (unintentional)",Take medicines on time,Monitor vitals regularly,Get adequate rest,Exercise lightly
Passenger of special construction vehicle injured in nontraffic accident,Drink plenty of water,Avoid oily food,Maintain hygiene,Take medicines on time
Pneumonia due to other Gram-negative bacteria,Get adequate rest,Avoid oily food,Exercise lightly,Maintain hygiene
Unspecified injury of superior mesenteric vein,Monitor vitals regularly,Maintain hygiene,Take medicines on time,Exercise lightly
Infection due to other mycobacteria,Maintain hygiene,Take medicines on time,Get adequate rest,Avoid oily food
"Toxic effect of sulfur dioxide, intentional self-harm",Exercise lightly,Get adequate rest,Monitor vitals regularly,Take medicines on time
Partial traumatic transphalangeal amputation of left little finger,Drink plenty of water,Maintain hygiene,Take medicines on time,Avoid oily food
"Injury of peroneal nerve at lower leg level, left leg",Avoid oily food,Drink plenty of water,Take medicines on time,Maintain hygiene
"Non-family member, perpetrator of maltreatment and neglect",Get adequate rest,Drink plenty of water,Maintain hygiene,Exercise lightly
"Military operations involving unintentional restriction of air and airway, military personnel",Monitor vitals regularly,Take medicines on time,Get adequate rest,Avoid oily food
Pain in ankle and joints of foot,Avoid oily food,Take medicines on time,Monitor vitals regularly,Get adequate rest
Passenger on bus injured in collision with pedestrian or animal in nontraffic accident,Get adequate rest,Exercise lightly,Take medicines on time,Maintain hygiene
Acute chemical otitis externa,Take medicines on time,Maintain hygiene,Monitor vitals regularly,Get adequate rest
"Burn of unspecified degree of right hand, unspecified site",Maintain hygiene,Take medicines on time,Monitor vitals regularly,Get adequate rest
Anterior subluxation of right humerus,Drink plenty of water,Maintain hygiene,Get adequate rest,Exercise lightly
Low lying placenta with hemorrhage,Exercise lightly,Get adequate rest,Maintain hygiene,Monitor vitals regularly
"Unspecified injury of unspecified blood vessel at shoulder and upper arm level, unspecified arm",Maintain hygiene,Exercise lightly,Monitor vitals regularly,Drink plenty of water
"Age-related osteoporosis with current pathological fracture, unspecified forearm",Monitor vitals regularly,Maintain hygiene,Get adequate rest,Exercise lightly
Unspecified subluxation of left hip,Drink plenty of water,Maintain hygiene,Avoid oily food,Monitor vitals regularly
Superficial frostbite of right knee and lower leg,Monitor vitals regularly,Exercise lightly,Avoid oily food,Drink plenty of water
"Toxic effect of contact with venomous frog, accidental (unintentional)",Avoid oily food,Take medicines on time,Drink plenty of water,Exercise lightly
"Gastritis, unspecified",Avoid oily food,Drink plenty of water,Get adequate rest,Maintain hygiene
"Nondisplaced oblique fracture of shaft of humerus, unspecified arm",Get adequate rest,Drink plenty of water,Take medicines on time,Monitor vitals regularly
Open bite of unspecified back wall of thorax without penetration into thoracic cavity,Get adequate rest,Take medicines on time,Monitor vitals regularly,Maintain hygiene
Atrophic nonflaccid tympanic membrane,Avoid oily food,Take medicines on time,Maintain hygiene,Get adequate rest
Unspecified open wound of left little finger without damage to nail,Exercise lightly,Avoid oily food,Take medicines on time,Drink plenty of water
Hypogalactia,Maintain hygiene,Drink plenty of water,Exercise lightly,Monitor vitals regularly
"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue",Get adequate rest,Drink plenty of water,Maintain hygiene,Exercise lightly
Contusion of left lesser toe(s) without damage to nail,Get adequate rest,Drink plenty of water,Avoid oily food,Monitor vitals regularly
"Other injury of intrinsic muscle, fascia and tendon of right ring finger at wrist and hand level",Avoid oily food,Exercise lightly,Take medicines on time,Get adequate rest
Unspecified injury of ulnar artery at wrist and hand level of right arm,Maintain hygiene,Exercise lightly,Drink plenty of water,Monitor vitals regularly
Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident,Take medicines on time,Drink plenty of water,Maintain hygiene,Get adequate rest
"Pathological fracture, unspecified tibia and fibula",Maintain hygiene,Drink plenty of water,Exercise lightly,Take medicines on time
Intentional self-harm by paintball gun,Avoid oily food,Maintain hygiene,Get adequate rest,Exercise lightly
Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,Get adequate rest,Avoid oily food,Drink plenty of water,Take medicines on time
Other specified diabetes mellitus without complications,Take medicines on time,Drink plenty of water,Exercise lightly,Get adequate rest
Displaced fracture of lesser tuberosity of left humerus,Get adequate rest,Exercise lightly,Maintain hygiene,Monitor vitals regularly
"Legal intervention involving injury by explosive shell, suspect injured",Take medicines on time,Exercise lightly,Drink plenty of water,Avoid oily food
Psychological abuse complicating the puerperium,Maintain hygiene,Avoid oily food,Take medicines on time,Exercise lightly
Salter-Harris Type II physeal fracture of upper end of left fibula,Get adequate rest,Monitor vitals regularly,Avoid oily food,Drink plenty of water
Partial loss of teeth due to trauma,Drink plenty of water,Exercise lightly,Maintain hygiene,Take medicines on time
Osteochondritis dissecans knee,Maintain hygiene,Take medicines on time,Exercise lightly,Get adequate rest
Complete rotator cuff tear or rupture not specified as traumatic,Maintain hygiene,Monitor vitals regularly,Get adequate rest,Exercise lightly
Fissure and fistula of anal and rectal regions,Maintain hygiene,Drink plenty of water,Get adequate rest,Exercise lightly
Conjunctival degenerations and deposits,Monitor vitals regularly,Take medicines on time,Drink plenty of water,Exercise lightly
"Congenital absence, atresia and stenosis of small intestine",Maintain hygiene,Get adequate rest,Avoid oily food,Exercise lightly
"Crushing injury of neck, part unspecified",Drink plenty of water,Monitor vitals regularly,Take medicines on time,Exercise lightly
"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts",Maintain hygiene,Monitor vitals regularly,Avoid oily food,Exercise lightly
Nondisplaced comminuted fracture of unspecified patella,Monitor vitals regularly,Take medicines on time,Drink plenty of water,Exercise lightly
Pedal cycle passenger injured in collision with other motor vehicles in traffic accident,Get adequate rest,Exercise lightly,Maintain hygiene,Monitor vitals regularly
Passenger on bus injured in collision with other motor vehicles in nontraffic accident,Exercise lightly,Drink plenty of water,Get adequate rest,Maintain hygiene
Sepsis of newborn due to Escherichia coli,Get adequate rest,Exercise lightly,Monitor vitals regularly,Drink plenty of water
"Unspecified open wound of abdominal wall, epigastric region without penetration into peritoneal cavity",Maintain hygiene,Monitor vitals regularly,Exercise lightly,Drink plenty of water
"Nondisplaced spiral fracture of shaft of radius, right arm",Get adequate rest,Avoid oily food,Drink plenty of water,Monitor vitals regularly
Dislocation of unspecified interphalangeal joint of right little finger,Get adequate rest,Avoid oily food,Take medicines on time,Exercise lightly
Contact with mining and earth-drilling machinery,Get adequate rest,Monitor vitals regularly,Drink plenty of water,Exercise lightly
Unspecified car occupant injured in collision with other nonmotor vehicle in traffic accident,Maintain hygiene,Monitor vitals regularly,Drink plenty of water,Get adequate rest
"Toxic effect of phenol and phenol homologues, assault",Monitor vitals regularly,Exercise lightly,Get adequate rest,Maintain hygiene
Nondisplaced associated transverse-posterior fracture of unspecified acetabulum,Take medicines on time,Monitor vitals regularly,Avoid oily food,Drink plenty of water
Laceration with foreign body of right thumb without damage to nail,Maintain hygiene,Avoid oily food,Get adequate rest,Exercise lightly
Driver of heavy transport vehicle injured in noncollision transport accident in nontraffic accident,Avoid oily food,Take medicines on time,Get adequate rest,Drink plenty of water
Encounter for fitting and adjustment of complete artificial leg,Maintain hygiene,Exercise lightly,Avoid oily food,Get adequate rest
Subjective visual disturbances,Avoid oily food,Take medicines on time,Exercise lightly,Maintain hygiene
Other sprain of unspecified shoulder joint,Take medicines on time,Exercise lightly,Drink plenty of water,Get adequate rest
Nodular corneal degeneration,Maintain hygiene,Monitor vitals regularly,Exercise lightly,Drink plenty of water
Driver of special agricultural vehicle injured in nontraffic accident,Take medicines on time,Maintain hygiene,Exercise lightly,Avoid oily food
Corrosion of second degree of unspecified palm,Take medicines on time,Maintain hygiene,Get adequate rest,Avoid oily food
Other specified injury of superficial palmar arch of left hand,Avoid oily food,Take medicines on time,Exercise lightly,Drink plenty of water
Natural environment type phobia,Drink plenty of water,Monitor vitals regularly,Exercise lightly,Maintain hygiene
Multiple myeloma,Take medicines on time,Drink plenty of water,Monitor vitals regularly,Exercise lightly
Unspecified abnormalities of breathing,Avoid oily food,Maintain hygiene,Exercise lightly,Take medicines on time
Degenerative myopia with retinal detachment,Avoid oily food,Drink plenty of water,Exercise lightly,Take medicines on time
Partial traumatic metacarpophalangeal amputation of right ring finger,Drink plenty of water,Exercise lightly,Get adequate rest,Maintain hygiene
Other hyperaldosteronism,Exercise lightly,Maintain hygiene,Monitor vitals regularly,Drink plenty of water
Unspecified displaced fracture of surgical neck of right humerus,Take medicines on time,Maintain hygiene,Avoid oily food,Monitor vitals regularly
Anterior dislocation of left radial head,Maintain hygiene,Take medicines on time,Monitor vitals regularly,Drink plenty of water
Arthritis and polyarthritis due to other bacteria,Maintain hygiene,Take medicines on time,Monitor vitals regularly,Avoid oily food
Other noninflammatory disorders of the testis,Drink plenty of water,Avoid oily food,Maintain hygiene,Monitor vitals regularly
"Explosion of bomb placed during war operations but exploding after cessation of hostilities, military personnel",Get adequate rest,Monitor vitals regularly,Maintain hygiene,Drink plenty of water
"Other injury of extensor muscle, fascia and tendon of right middle finger at forearm level",Take medicines on time,Monitor vitals regularly,Avoid oily food,Get adequate rest
Sprain of unspecified cruciate ligament of right knee,Maintain hygiene,Drink plenty of water,Exercise lightly,Monitor vitals regularly
Burn of first degree of unspecified thumb (nail),Avoid oily food,Maintain hygiene,Monitor vitals regularly,Drink plenty of water
Corrosion of first degree of right scapular region,Exercise lightly,Monitor vitals regularly,Maintain hygiene,Avoid oily food
Subluxation of metacarpophalangeal joint of left index finger,Avoid oily food,Maintain hygiene,Monitor vitals regularly,Take medicines on time
Rheumatoid vasculitis with rheumatoid arthritis of multiple sites,Exercise lightly,Maintain hygiene,Monitor vitals regularly,Drink plenty of water
Spontaneous rupture of other tendons,Monitor vitals regularly,Avoid oily food,Drink plenty of water,Exercise lightly
Major laceration of thoracic aorta,Maintain hygiene,Monitor vitals regularly,Take medicines on time,Drink plenty of water
"War operation involving nuclear radiation effects of nuclear weapon, civilian",Get adequate rest,Maintain hygiene,Monitor vitals regularly,Take medicines on time
Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,Get adequate rest,Monitor vitals regularly,Maintain hygiene,Exercise lightly
Nondisplaced fracture of middle phalanx of left middle finger,Maintain hygiene,Monitor vitals regularly,Avoid oily food,Exercise lightly
Unspecified glaucoma,Exercise lightly,Take medicines on time,Monitor vitals regularly,Drink plenty of water
Other injury of other intra-abdominal organs,Exercise lightly,Maintain hygiene,Monitor vitals regularly,Avoid oily food
"Hemorrhage due to nervous system prosthetic devices, implants and grafts",Get adequate rest,Monitor vitals regularly,Drink plenty of water,Take medicines on time
"Traumatic arthropathy, wrist",Maintain hygiene,Exercise lightly,Take medicines on time,Get adequate rest
"Lead-induced chronic gout, unspecified wrist",Take medicines on time,Get adequate rest,Drink plenty of water,Maintain hygiene
Nondisplaced fracture of lateral cuneiform of right foot,Monitor vitals regularly,Maintain hygiene,Exercise lightly,Drink plenty of water
"Exudative age-related macular degeneration, unspecified eye",Get adequate rest,Avoid oily food,Monitor vitals regularly,Take medicines on time
Disseminated intravascular coagulation [defibrination syndrome],Get adequate rest,Monitor vitals regularly,Take medicines on time,Maintain hygiene
Superficial frostbite of unspecified ankle,Monitor vitals regularly,Get adequate rest,Take medicines on time,Exercise lightly
"Malocclusion, Angle's class",Drink plenty of water,Avoid oily food,Maintain hygiene,Monitor vitals regularly
Corrosion of second degree of right scapular region,Exercise lightly,Avoid oily food,Take medicines on time,Drink plenty of water
"Pulmonary eosinophilia, not elsewhere classified",Maintain hygiene,Avoid oily food,Monitor vitals regularly,Get adequate rest
Dislocation of unspecified parts of left shoulder girdle,Exercise lightly,Maintain hygiene,Take medicines on time,Get adequate rest
"Other secondary chronic gout, left hand",Monitor vitals regularly,Take medicines on time,Get adequate rest,Maintain hygiene
"Salter-Harris Type III physeal fracture of lower end of humerus, right arm",Maintain hygiene,Drink plenty of water,Avoid oily food,Monitor vitals regularly
Driver of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident,Get adequate rest,Maintain hygiene,Monitor vitals regularly,Avoid oily food
Rheumatoid arthritis of hip with involvement of other organs and systems,Take medicines on time,Exercise lightly,Get adequate rest,Maintain hygiene
Other congenital malformations of anterior segment of eye,Take medicines on time,Maintain hygiene,Avoid oily food,Drink plenty of water
"Poisoning by benzodiazepines, accidental (unintentional)",Drink plenty of water,Monitor vitals regularly,Avoid oily food,Get adequate rest
Corrosion of unspecified degree of left knee,Maintain hygiene,Exercise lightly,Take medicines on time,Drink plenty of water
Nondisplaced fracture of shaft of other metacarpal bone,Maintain hygiene,Take medicines on time,Avoid oily food,Monitor vitals regularly
Compression of vein,Exercise lightly,Maintain hygiene,Avoid oily food,Monitor vitals regularly
"Unspecified injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm",Exercise lightly,Drink plenty of water,Take medicines on time,Avoid oily food
"Toxic effect of fluorine gas and hydrogen fluoride, undetermined",Maintain hygiene,Avoid oily food,Monitor vitals regularly,Get adequate rest
"Poisoning by unspecified antipsychotics and neuroleptics, accidental (unintentional)",Drink plenty of water,Monitor vitals regularly,Exercise lightly,Avoid oily food
Benign lipomatous neoplasm of other sites,Monitor vitals regularly,Avoid oily food,Drink plenty of water,Exercise lightly
Type 1 diabetes mellitus with unspecified complications,Monitor vitals regularly,Maintain hygiene,Drink plenty of water,Take medicines on time
Person boarding or alighting a car injured in collision with van,Exercise lightly,Monitor vitals regularly,Take medicines on time,Get adequate rest
"Complete oblique atypical femoral fracture, unspecified leg",Drink plenty of water,Get adequate rest,Exercise lightly,Take medicines on time
Agalactia,Maintain hygiene,Take medicines on time,Avoid oily food,Exercise lightly
Other acquired abnormalities of ear ossicles,Maintain hygiene,Take medicines on time,Monitor vitals regularly,Drink plenty of water
Other injury due to other accident to fishing boat,Get adequate rest,Monitor vitals regularly,Maintain hygiene,Avoid oily food
Nondisplaced fracture (avulsion) of lateral epicondyle of left humerus,Exercise lightly,Get adequate rest,Drink plenty of water,Monitor vitals regularly
Bitten by other rodent,Monitor vitals regularly,Maintain hygiene,Exercise lightly,Get adequate rest
Elevated prostate specific antigen [PSA],Monitor vitals regularly,Maintain hygiene,Avoid oily food,Exercise lightly
Unspecified superficial injury of left ankle,Take medicines on time,Monitor vitals regularly,Get adequate rest,Exercise lightly
Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident,Get adequate rest,Take medicines on time,Drink plenty of water,Monitor vitals regularly
"Carcinoma in situ of respiratory system, unspecified",Drink plenty of water,Avoid oily food,Get adequate rest,Monitor vitals regularly
"Other specified injury of lesser saphenous vein at lower leg level, unspecified leg",Avoid oily food,Drink plenty of water,Monitor vitals regularly,Get adequate rest
Nondisplaced transverse fracture of shaft of right fibula,Monitor vitals regularly,Get adequate rest,Exercise lightly,Drink plenty of water
"Other cervical disc displacement, cervicothoracic region",Exercise lightly,Maintain hygiene,Get adequate rest,Drink plenty of water
"Stress fracture, left shoulder",Exercise lightly,Maintain hygiene,Avoid oily food,Drink plenty of water
"Superficial foreign body, unspecified hip",Maintain hygiene,Monitor vitals regularly,Exercise lightly,Get adequate rest
Fall from moving wheelchair (powered),Drink plenty of water,Avoid oily food,Monitor vitals regularly,Exercise lightly
Immunization not carried out because of patient decision for reasons of belief or group pressure,Maintain hygiene,Get adequate rest,Take medicines on time,Monitor vitals regularly
"Broken internal joint prosthesis, unspecified site",Monitor vitals regularly,Maintain hygiene,Exercise lightly,Avoid oily food
"Toxic effect of benzene, accidental (unintentional)",Exercise lightly,Get adequate rest,Drink plenty of water,Maintain hygiene
"Toxic effect of phenol and phenol homologues, accidental (unintentional)",Drink plenty of water,Maintain hygiene,Avoid oily food,Take medicines on time
"Stress fracture, right humerus",Exercise lightly,Drink plenty of water,Maintain hygiene,Monitor vitals regularly
"External constriction, left hip",Maintain hygiene,Drink plenty of water,Exercise lightly,Monitor vitals regularly
"Contact with unspecified sharp object, undetermined intent",Exercise lightly,Maintain hygiene,Avoid oily food,Take medicines on time
"Partial traumatic amputation at knee level, unspecified lower leg",Drink plenty of water,Maintain hygiene,Exercise lightly,Take medicines on time
"Strain of muscle, fascia and tendon of other parts of biceps, unspecified arm",Monitor vitals regularly,Avoid oily food,Maintain hygiene,Drink plenty of water
Encounter for screening for malignant neoplasm of intestinal tract,Drink plenty of water,Exercise lightly,Avoid oily food,Monitor vitals regularly
"Diseases of bronchus, not elsewhere classified",Monitor vitals regularly,Exercise lightly,Get adequate rest,Drink plenty of water
"Malignant neoplasm of overlapping sites of breast, male",Take medicines on time,Get adequate rest,Drink plenty of water,Avoid oily food
Insect bite of unspecified part of neck,Drink plenty of water,Get adequate rest,Monitor vitals regularly,Take medicines on time
Corrosion of third degree of left shoulder,Maintain hygiene,Monitor vitals regularly,Drink plenty of water,Avoid oily food
Sprain of chondrosternal joint,Exercise lightly,Take medicines on time,Maintain hygiene,Avoid oily food
Open bite of left index finger without damage to nail,Maintain hygiene,Get adequate rest,Monitor vitals regularly,Take medicines on time
Superficial foreign body of unspecified part of head,Monitor vitals regularly,Exercise lightly,Drink plenty of water,Get adequate rest
