Disease,Description
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
Sprain of interphalangeal joint of left index finger,Sprain of interphalangeal joint of left index finger is a medical condition that requires attention. Symptoms may vary.
"Acute infarction of intestine, part unspecified","Acute infarction of intestine, part unspecified is a medical condition that requires attention. Symptoms may vary."
Erosion of implanted urethral mesh to surrounding organ or tissue,Erosion of implanted urethral mesh to surrounding organ or tissue is a medical condition that requires attention. Symptoms may vary.
"Other synovitis and tenosynovitis, upper arm","Other synovitis and tenosynovitis, upper arm is a medical condition that requires attention. Symptoms may vary."
Displaced fracture of greater trochanter of unspecified femur,Displaced fracture of greater trochanter of unspecified femur is a medical condition that requires attention. Symptoms may vary.
Maternal care for disproportion of other origin,Maternal care for disproportion of other origin is a medical condition that requires attention. Symptoms may vary.
Liver disorders in diseases classified elsewhere,Liver disorders in diseases classified elsewhere is a medical condition that requires attention. Symptoms may vary.
Postprocedural hematoma and seroma of a respiratory system organ or structure following a procedure,Postprocedural hematoma and seroma of a respiratory system organ or structure following a procedure is a medical condition that requires attention. Symptoms may vary.
Complete loss of teeth due to periodontal diseases,Complete loss of teeth due to periodontal diseases is a medical condition that requires attention. Symptoms may vary.
Pneumonia due to Streptococcus pneumoniae,Pneumonia due to Streptococcus pneumoniae is a medical condition that requires attention. Symptoms may vary.
Unspecified nondisplaced fracture of surgical neck of unspecified humerus,Unspecified nondisplaced fracture of surgical neck of unspecified humerus is a medical condition that requires attention. Symptoms may vary.
Other sickle-cell disorders,Other sickle-cell disorders is a medical condition that requires attention. Symptoms may vary.
"Unspecified injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm","Unspecified injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm is a medical condition that requires attention. Symptoms may vary."
Other accident to other private fixed-wing aircraft injuring occupant,Other accident to other private fixed-wing aircraft injuring occupant is a medical condition that requires attention. Symptoms may vary.
"Primary blast injury of fallopian tube, bilateral","Primary blast injury of fallopian tube, bilateral is a medical condition that requires attention. Symptoms may vary."
"Aneurysmal bone cyst, multiple sites","Aneurysmal bone cyst, multiple sites is a medical condition that requires attention. Symptoms may vary."
"Other injury of flexor muscle, fascia and tendon of left index finger at forearm level","Other injury of flexor muscle, fascia and tendon of left index finger at forearm level is a medical condition that requires attention. Symptoms may vary."
Newborn affected by other abnormalities of membranes,Newborn affected by other abnormalities of membranes is a medical condition that requires attention. Symptoms may vary.
Bitten by nonvenomous snake,Bitten by nonvenomous snake is a medical condition that requires attention. Symptoms may vary.
Person boarding or alighting a heavy transport vehicle injured in collision with fixed or stationary object,Person boarding or alighting a heavy transport vehicle injured in collision with fixed or stationary object is a medical condition that requires attention. Symptoms may vary.
Other streptococcal arthritis and polyarthritis,Other streptococcal arthritis and polyarthritis is a medical condition that requires attention. Symptoms may vary.
Other mucopurulent conjunctivitis,Other mucopurulent conjunctivitis is a medical condition that requires attention. Symptoms may vary.
Other specified heart block,Other specified heart block is a medical condition that requires attention. Symptoms may vary.
Unspecified physeal fracture of upper end of unspecified fibula,Unspecified physeal fracture of upper end of unspecified fibula is a medical condition that requires attention. Symptoms may vary.
Superficial foreign body of other specified part of neck,Superficial foreign body of other specified part of neck is a medical condition that requires attention. Symptoms may vary.
Displaced simple supracondylar fracture without intercondylar fracture of unspecified humerus,Displaced simple supracondylar fracture without intercondylar fracture of unspecified humerus is a medical condition that requires attention. Symptoms may vary.
Other inflammatory liver diseases,Other inflammatory liver diseases is a medical condition that requires attention. Symptoms may vary.
Unspecified fracture of lower end of left ulna,Unspecified fracture of lower end of left ulna is a medical condition that requires attention. Symptoms may vary.
Bariatric surgery status,Bariatric surgery status is a medical condition that requires attention. Symptoms may vary.
Caisson disease [decompression sickness],Caisson disease [decompression sickness] is a medical condition that requires attention. Symptoms may vary.
Displaced unspecified condyle fracture of lower end of unspecified femur,Displaced unspecified condyle fracture of lower end of unspecified femur is a medical condition that requires attention. Symptoms may vary.
Other specified injuries of left thigh,Other specified injuries of left thigh is a medical condition that requires attention. Symptoms may vary.
"Drug-induced chronic gout, right hip","Drug-induced chronic gout, right hip is a medical condition that requires attention. Symptoms may vary."
Cataract with neovascularization,Cataract with neovascularization is a medical condition that requires attention. Symptoms may vary.
Other specified injuries of unspecified part of neck,Other specified injuries of unspecified part of neck is a medical condition that requires attention. Symptoms may vary.
Benign neoplasm of lacrimal gland and duct,Benign neoplasm of lacrimal gland and duct is a medical condition that requires attention. Symptoms may vary.
Unspecified injury of left foot,Unspecified injury of left foot is a medical condition that requires attention. Symptoms may vary.
Passenger in three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident,Passenger in three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident is a medical condition that requires attention. Symptoms may vary.
Hordeolum internum,Hordeolum internum is a medical condition that requires attention. Symptoms may vary.
Other dermatomyositis,Other dermatomyositis is a medical condition that requires attention. Symptoms may vary.
Resistance to antimycobacterial drug(s),Resistance to antimycobacterial drug(s) is a medical condition that requires attention. Symptoms may vary.
Occupant of railway train or railway vehicle injured due to object falling onto train,Occupant of railway train or railway vehicle injured due to object falling onto train is a medical condition that requires attention. Symptoms may vary.
Symptoms and signs involving appearance and behavior,Symptoms and signs involving appearance and behavior is a medical condition that requires attention. Symptoms may vary.
Unspecified injury of unspecified carotid artery,Unspecified injury of unspecified carotid artery is a medical condition that requires attention. Symptoms may vary.
Blastomycosis,Blastomycosis is a medical condition that requires attention. Symptoms may vary.
Burn due to localized fire on board fishing boat,Burn due to localized fire on board fishing boat is a medical condition that requires attention. Symptoms may vary.
"Allergy, unspecified","Allergy, unspecified is a medical condition that requires attention. Symptoms may vary."
Encounter for fitting and adjustment of unspecified artificial arm,Encounter for fitting and adjustment of unspecified artificial arm is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of unspecified organic solvent, undetermined","Toxic effect of unspecified organic solvent, undetermined is a medical condition that requires attention. Symptoms may vary."
"Laceration of muscle, fascia and tendon of abdomen","Laceration of muscle, fascia and tendon of abdomen is a medical condition that requires attention. Symptoms may vary."
Striking against wall of swimming pool causing drowning and submersion,Striking against wall of swimming pool causing drowning and submersion is a medical condition that requires attention. Symptoms may vary.
Incomplete lesion of L1 level of lumbar spinal cord,Incomplete lesion of L1 level of lumbar spinal cord is a medical condition that requires attention. Symptoms may vary.
Burns classified according to extent of body surface involved,Burns classified according to extent of body surface involved is a medical condition that requires attention. Symptoms may vary.
"Asphyxiation due to smothering under another person's body (in bed), accidental","Asphyxiation due to smothering under another person's body (in bed), accidental is a medical condition that requires attention. Symptoms may vary."
Unspecified superficial injury of left index finger,Unspecified superficial injury of left index finger is a medical condition that requires attention. Symptoms may vary.
"Nondisplaced fracture of fifth metatarsal bone, left foot","Nondisplaced fracture of fifth metatarsal bone, left foot is a medical condition that requires attention. Symptoms may vary."
"Injury of cutaneous sensory nerve at forearm level, left arm","Injury of cutaneous sensory nerve at forearm level, left arm is a medical condition that requires attention. Symptoms may vary."
Other mechanical complication of internal left knee prosthesis,Other mechanical complication of internal left knee prosthesis is a medical condition that requires attention. Symptoms may vary.
Unspecified injury of unspecified urinary and pelvic organ,Unspecified injury of unspecified urinary and pelvic organ is a medical condition that requires attention. Symptoms may vary.
"Other bursitis, not elsewhere classified, knee","Other bursitis, not elsewhere classified, knee is a medical condition that requires attention. Symptoms may vary."
"Assault by drowning and submersion, unspecified","Assault by drowning and submersion, unspecified is a medical condition that requires attention. Symptoms may vary."
Unspecified symptoms and signs involving cognitive functions and awareness,Unspecified symptoms and signs involving cognitive functions and awareness is a medical condition that requires attention. Symptoms may vary.
Anterior spinal artery compression syndromes,Anterior spinal artery compression syndromes is a medical condition that requires attention. Symptoms may vary.
Car passenger injured in collision with other nonmotor vehicle in nontraffic accident,Car passenger injured in collision with other nonmotor vehicle in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Dislocation of C4/C5 cervical vertebrae,Dislocation of C4/C5 cervical vertebrae is a medical condition that requires attention. Symptoms may vary.
Subluxation of T9/T10 thoracic vertebra,Subluxation of T9/T10 thoracic vertebra is a medical condition that requires attention. Symptoms may vary.
Traumatic rupture of volar plate of right index finger at metacarpophalangeal and interphalangeal joint,Traumatic rupture of volar plate of right index finger at metacarpophalangeal and interphalangeal joint is a medical condition that requires attention. Symptoms may vary.
"Other adverse food reactions, not elsewhere classified","Other adverse food reactions, not elsewhere classified is a medical condition that requires attention. Symptoms may vary."
"Other specific joint derangements of shoulder, not elsewhere classified","Other specific joint derangements of shoulder, not elsewhere classified is a medical condition that requires attention. Symptoms may vary."
Laceration without foreign body of scrotum and testes,Laceration without foreign body of scrotum and testes is a medical condition that requires attention. Symptoms may vary.
"Poisoning by rifampicins, accidental (unintentional)","Poisoning by rifampicins, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
Passenger of special construction vehicle injured in nontraffic accident,Passenger of special construction vehicle injured in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Pneumonia due to other Gram-negative bacteria,Pneumonia due to other Gram-negative bacteria is a medical condition that requires attention. Symptoms may vary.
Unspecified injury of superior mesenteric vein,Unspecified injury of superior mesenteric vein is a medical condition that requires attention. Symptoms may vary.
Infection due to other mycobacteria,Infection due to other mycobacteria is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of sulfur dioxide, intentional self-harm","Toxic effect of sulfur dioxide, intentional self-harm is a medical condition that requires attention. Symptoms may vary."
Partial traumatic transphalangeal amputation of left little finger,Partial traumatic transphalangeal amputation of left little finger is a medical condition that requires attention. Symptoms may vary.
"Injury of peroneal nerve at lower leg level, left leg","Injury of peroneal nerve at lower leg level, left leg is a medical condition that requires attention. Symptoms may vary."
"Non-family member, perpetrator of maltreatment and neglect","Non-family member, perpetrator of maltreatment and neglect is a medical condition that requires attention. Symptoms may vary."
"Military operations involving unintentional restriction of air and airway, military personnel","Military operations involving unintentional restriction of air and airway, military personnel is a medical condition that requires attention. Symptoms may vary."
Pain in ankle and joints of foot,Pain in ankle and joints of foot is a medical condition that requires attention. Symptoms may vary.
Passenger on bus injured in collision with pedestrian or animal in nontraffic accident,Passenger on bus injured in collision with pedestrian or animal in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Acute chemical otitis externa,Acute chemical otitis externa is a medical condition that requires attention. Symptoms may vary.
"Burn of unspecified degree of right hand, unspecified site","Burn of unspecified degree of right hand, unspecified site is a medical condition that requires attention. Symptoms may vary."
Anterior subluxation of right humerus,Anterior subluxation of right humerus is a medical condition that requires attention. Symptoms may vary.
Low lying placenta with hemorrhage,Low lying placenta with hemorrhage is a medical condition that requires attention. Symptoms may vary.
"Unspecified injury of unspecified blood vessel at shoulder and upper arm level, unspecified arm","Unspecified injury of unspecified blood vessel at shoulder and upper arm level, unspecified arm is a medical condition that requires attention. Symptoms may vary."
"Age-related osteoporosis with current pathological fracture, unspecified forearm","Age-related osteoporosis with current pathological fracture, unspecified forearm is a medical condition that requires attention. Symptoms may vary."
Unspecified subluxation of left hip,Unspecified subluxation of left hip is a medical condition that requires attention. Symptoms may vary.
Superficial frostbite of right knee and lower leg,Superficial frostbite of right knee and lower leg is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of contact with venomous frog, accidental (unintentional)","Toxic effect of contact with venomous frog, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
"Gastritis, unspecified","Gastritis, unspecified is a medical condition that requires attention. Symptoms may vary."
"Nondisplaced oblique fracture of shaft of humerus, unspecified arm","Nondisplaced oblique fracture of shaft of humerus, unspecified arm is a medical condition that requires attention. Symptoms may vary."
Open bite of unspecified back wall of thorax without penetration into thoracic cavity,Open bite of unspecified back wall of thorax without penetration into thoracic cavity is a medical condition that requires attention. Symptoms may vary.
Atrophic nonflaccid tympanic membrane,Atrophic nonflaccid tympanic membrane is a medical condition that requires attention. Symptoms may vary.
Unspecified open wound of left little finger without damage to nail,Unspecified open wound of left little finger without damage to nail is a medical condition that requires attention. Symptoms may vary.
Hypogalactia,Hypogalactia is a medical condition that requires attention. Symptoms may vary.
"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue","Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue is a medical condition that requires attention. Symptoms may vary."
Contusion of left lesser toe(s) without damage to nail,Contusion of left lesser toe(s) without damage to nail is a medical condition that requires attention. Symptoms may vary.
"Other injury of intrinsic muscle, fascia and tendon of right ring finger at wrist and hand level","Other injury of intrinsic muscle, fascia and tendon of right ring finger at wrist and hand level is a medical condition that requires attention. Symptoms may vary."
Unspecified injury of ulnar artery at wrist and hand level of right arm,Unspecified injury of ulnar artery at wrist and hand level of right arm is a medical condition that requires attention. Symptoms may vary.
Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident,Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident is a medical condition that requires attention. Symptoms may vary.
"Pathological fracture, unspecified tibia and fibula","Pathological fracture, unspecified tibia and fibula is a medical condition that requires attention. Symptoms may vary."
Intentional self-harm by paintball gun,Intentional self-harm by paintball gun is a medical condition that requires attention. Symptoms may vary.
Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula is a medical condition that requires attention. Symptoms may vary.
Other specified diabetes mellitus without complications,Other specified diabetes mellitus without complications is a medical condition that requires attention. Symptoms may vary.
Displaced fracture of lesser tuberosity of left humerus,Displaced fracture of lesser tuberosity of left humerus is a medical condition that requires attention. Symptoms may vary.
"Legal intervention involving injury by explosive shell, suspect injured","Legal intervention involving injury by explosive shell, suspect injured is a medical condition that requires attention. Symptoms may vary."
Psychological abuse complicating the puerperium,Psychological abuse complicating the puerperium is a medical condition that requires attention. Symptoms may vary.
Salter-Harris Type II physeal fracture of upper end of left fibula,Salter-Harris Type II physeal fracture of upper end of left fibula is a medical condition that requires attention. Symptoms may vary.
Partial loss of teeth due to trauma,Partial loss of teeth due to trauma is a medical condition that requires attention. Symptoms may vary.
Osteochondritis dissecans knee,Osteochondritis dissecans knee is a medical condition that requires attention. Symptoms may vary.
Complete rotator cuff tear or rupture not specified as traumatic,Complete rotator cuff tear or rupture not specified as traumatic is a medical condition that requires attention. Symptoms may vary.
Fissure and fistula of anal and rectal regions,Fissure and fistula of anal and rectal regions is a medical condition that requires attention. Symptoms may vary.
Conjunctival degenerations and deposits,Conjunctival degenerations and deposits is a medical condition that requires attention. Symptoms may vary.
"Congenital absence, atresia and stenosis of small intestine","Congenital absence, atresia and stenosis of small intestine is a medical condition that requires attention. Symptoms may vary."
"Crushing injury of neck, part unspecified","Crushing injury of neck, part unspecified is a medical condition that requires attention. Symptoms may vary."
"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts","Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts is a medical condition that requires attention. Symptoms may vary."
Nondisplaced comminuted fracture of unspecified patella,Nondisplaced comminuted fracture of unspecified patella is a medical condition that requires attention. Symptoms may vary.
Pedal cycle passenger injured in collision with other motor vehicles in traffic accident,Pedal cycle passenger injured in collision with other motor vehicles in traffic accident is a medical condition that requires attention. Symptoms may vary.
Passenger on bus injured in collision with other motor vehicles in nontraffic accident,Passenger on bus injured in collision with other motor vehicles in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Sepsis of newborn due to Escherichia coli,Sepsis of newborn due to Escherichia coli is a medical condition that requires attention. Symptoms may vary.
"Unspecified open wound of abdominal wall, epigastric region without penetration into peritoneal cavity","Unspecified open wound of abdominal wall, epigastric region without penetration into peritoneal cavity is a medical condition that requires attention. Symptoms may vary."
"Nondisplaced spiral fracture of shaft of radius, right arm","Nondisplaced spiral fracture of shaft of radius, right arm is a medical condition that requires attention. Symptoms may vary."
Dislocation of unspecified interphalangeal joint of right little finger,Dislocation of unspecified interphalangeal joint of right little finger is a medical condition that requires attention. Symptoms may vary.
Contact with mining and earth-drilling machinery,Contact with mining and earth-drilling machinery is a medical condition that requires attention. Symptoms may vary.
Unspecified car occupant injured in collision with other nonmotor vehicle in traffic accident,Unspecified car occupant injured in collision with other nonmotor vehicle in traffic accident is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of phenol and phenol homologues, assault","Toxic effect of phenol and phenol homologues, assault is a medical condition that requires attention. Symptoms may vary."
Nondisplaced associated transverse-posterior fracture of unspecified acetabulum,Nondisplaced associated transverse-posterior fracture of unspecified acetabulum is a medical condition that requires attention. Symptoms may vary.
Laceration with foreign body of right thumb without damage to nail,Laceration with foreign body of right thumb without damage to nail is a medical condition that requires attention. Symptoms may vary.
Driver of heavy transport vehicle injured in noncollision transport accident in nontraffic accident,Driver of heavy transport vehicle injured in noncollision transport accident in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Encounter for fitting and adjustment of complete artificial leg,Encounter for fitting and adjustment of complete artificial leg is a medical condition that requires attention. Symptoms may vary.
Subjective visual disturbances,Subjective visual disturbances is a medical condition that requires attention. Symptoms may vary.
Other sprain of unspecified shoulder joint,Other sprain of unspecified shoulder joint is a medical condition that requires attention. Symptoms may vary.
Nodular corneal degeneration,Nodular corneal degeneration is a medical condition that requires attention. Symptoms may vary.
Driver of special agricultural vehicle injured in nontraffic accident,Driver of special agricultural vehicle injured in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
Corrosion of second degree of unspecified palm,Corrosion of second degree of unspecified palm is a medical condition that requires attention. Symptoms may vary.
Other specified injury of superficial palmar arch of left hand,Other specified injury of superficial palmar arch of left hand is a medical condition that requires attention. Symptoms may vary.
Natural environment type phobia,Natural environment type phobia is a medical condition that requires attention. Symptoms may vary.
Multiple myeloma,Multiple myeloma is a medical condition that requires attention. Symptoms may vary.
Unspecified abnormalities of breathing,Unspecified abnormalities of breathing is a medical condition that requires attention. Symptoms may vary.
Degenerative myopia with retinal detachment,Degenerative myopia with retinal detachment is a medical condition that requires attention. Symptoms may vary.
Partial traumatic metacarpophalangeal amputation of right ring finger,Partial traumatic metacarpophalangeal amputation of right ring finger is a medical condition that requires attention. Symptoms may vary.
Other hyperaldosteronism,Other hyperaldosteronism is a medical condition that requires attention. Symptoms may vary.
Unspecified displaced fracture of surgical neck of right humerus,Unspecified displaced fracture of surgical neck of right humerus is a medical condition that requires attention. Symptoms may vary.
Anterior dislocation of left radial head,Anterior dislocation of left radial head is a medical condition that requires attention. Symptoms may vary.
Arthritis and polyarthritis due to other bacteria,Arthritis and polyarthritis due to other bacteria is a medical condition that requires attention. Symptoms may vary.
Other noninflammatory disorders of the testis,Other noninflammatory disorders of the testis is a medical condition that requires attention. Symptoms may vary.
"Explosion of bomb placed during war operations but exploding after cessation of hostilities, military personnel","Explosion of bomb placed during war operations but exploding after cessation of hostilities, military personnel is a medical condition that requires attention. Symptoms may vary."
"Other injury of extensor muscle, fascia and tendon of right middle finger at forearm level","Other injury of extensor muscle, fascia and tendon of right middle finger at forearm level is a medical condition that requires attention. Symptoms may vary."
Sprain of unspecified cruciate ligament of right knee,Sprain of unspecified cruciate ligament of right knee is a medical condition that requires attention. Symptoms may vary.
Burn of first degree of unspecified thumb (nail),Burn of first degree of unspecified thumb (nail) is a medical condition that requires attention. Symptoms may vary.
Corrosion of first degree of right scapular region,Corrosion of first degree of right scapular region is a medical condition that requires attention. Symptoms may vary.
Subluxation of metacarpophalangeal joint of left index finger,Subluxation of metacarpophalangeal joint of left index finger is a medical condition that requires attention. Symptoms may vary.
Rheumatoid vasculitis with rheumatoid arthritis of multiple sites,Rheumatoid vasculitis with rheumatoid arthritis of multiple sites is a medical condition that requires attention. Symptoms may vary.
Spontaneous rupture of other tendons,Spontaneous rupture of other tendons is a medical condition that requires attention. Symptoms may vary.
Major laceration of thoracic aorta,Major laceration of thoracic aorta is a medical condition that requires attention. Symptoms may vary.
"War operation involving nuclear radiation effects of nuclear weapon, civilian","War operation involving nuclear radiation effects of nuclear weapon, civilian is a medical condition that requires attention. Symptoms may vary."
